missoes_por_id;moedas_por_id;area_secreta;acesso_ranking;barra_progresso;minimapa;mensagens_enviadas;mensagens_recebidas;npc;itens_doados;doacoes_recebidas;easter_egg;acesso_diario;acesso_itens;acesso_equipar;som;acesso_jogadores;experiencia_por_id;outras_opcoes;infobox;oculos;escolha_anarquista;qtde_logs;tipo_jogador
1;0;1;0;0;1;0;1;25;0;0;0;0;0;0;0;0;150;21;115;0;0;3076;player
1;35;0;0;0;0;0;0;100;0;0;0;2;0;1;0;1;235;70;10;0;0;2103;free_spirit
3;610;4;2;1;1;0;0;57;0;0;0;0;2;3;0;6;900;49;205;6;0;2483;free_spirit
2;365;0;0;0;0;2;3;172;0;0;0;1;1;0;0;4;925;86;84;0;0;4162;philanthropist
5;465;78;4;1;4;0;3;264;0;0;0;6;0;2;1;14;960;110;1393;119;0;10250;free_spirit
3;945;16;0;0;0;0;0;514;0;0;0;1;1;0;0;21;1050;86;20;0;0;7504;free_spirit
4;440;12;1;4;10;7;1;308;0;0;0;0;2;1;0;10;1080;137;545;0;0;10441;player
7;1210;8;1;0;6;3;1;533;0;0;0;7;3;6;5;12;2245;149;1465;14;1;12845;player
6;1280;6;0;0;37;0;1;481;0;0;0;16;4;3;0;9;2315;132;211;27;1;7201;free_spirit
1;260;4;0;1;14;6;6;76;0;0;0;2;2;1;1;10;100;65;343;0;0;3143;philanthropist
3;50;21;2;8;48;4;4;249;0;0;0;37;3;8;0;10;140;66;348;0;0;4942;achiever
1;25;2;0;1;6;1;0;46;0;1;0;0;0;0;0;1;175;22;191;0;0;6756;free_spirit
3;195;2;1;0;5;1;2;73;0;0;0;4;0;1;4;3;375;28;81;0;0;2683;player
2;620;7;0;0;1;0;4;154;0;1;0;1;1;0;0;1;1335;56;516;0;0;6630;player
5;915;12;0;2;0;2;0;305;0;0;0;0;0;4;0;10;1420;121;191;16;0;7494;disruptor
7;1470;26;4;2;4;20;12;702;0;0;5;5;1;13;2;8;2570;159;558;129;16;148193;player
8;2050;23;21;4;19;15;1;923;1;0;4;22;4;4;5;43;3030;117;826;69;2;41572;achiever
5;1875;3;0;0;4;0;15;290;1;0;0;0;0;1;0;21;3160;66;24;91;1;8820;philanthropist
8;1470;26;7;6;32;3;3;786;0;0;3;15;6;16;108;43;3860;189;3436;169;1;18890;player
7;4565;33;74;9;73;2;68;2152;0;0;10;76;33;24;46;76;6395;331;2347;176;1;31194;achiever
3;395;14;0;0;2;1;0;192;0;0;0;5;0;2;2;6;605;52;176;6;0;4386;player
3;280;9;0;0;4;0;1;109;0;0;0;2;2;3;0;4;715;40;219;68;0;3331;player
1;375;13;0;2;7;0;0;237;0;0;0;1;0;0;0;1;810;68;496;3;0;5450;socialiser
1;300;20;6;2;6;0;0;216;0;0;0;6;1;6;2;35;890;47;944;91;0;6135;player
1;165;2;3;0;0;0;0;44;0;0;0;0;1;2;0;2;265;17;192;7;0;2121;free_spirit
5;775;19;0;0;1;0;10;300;1;0;0;1;1;0;0;20;870;113;24;9;0;5541;philanthropist
4;550;10;0;0;6;12;17;221;0;0;0;6;0;2;1;14;1150;92;492;2;0;5787;philanthropist
5;985;19;0;2;10;11;6;335;0;0;0;5;0;0;0;17;1400;120;572;57;0;7620;player
7;2110;27;2;0;6;36;27;396;2;0;0;4;2;3;0;40;2420;107;366;53;1;9552;free_spirit
8;1775;17;1;7;8;7;18;441;0;0;0;29;3;14;0;12;2870;156;670;172;1;11989;free_spirit
6;2360;34;0;8;15;42;26;837;0;2;5;2;3;12;2;53;3485;186;362;152;1;20672;free_spirit
